county,state,population,latitude,longitude
Randolph,NC,144403,35.7103,-79.8060
Rock Island,IL,143819,41.4673,-90.5674
Jackson,MS,143721,30.5425,-88.6358
Livingston,LA,143425,30.4401,-90.7279
Lebanon,PA,143258,40.3672,-76.4577
Schuylkill,PA,143201,40.7058,-76.2160
Taylor,TX,143029,32.3015,-99.8901
Wright,MN,142543,45.1739,-93.9631
Randall,TX,141489,34.9659,-101.8970
Spotsylvania,VA,141097,38.1851,-77.6561
Monroe,IN,140065,39.1609,-86.5231
Brunswick,NC,139721,34.0715,-78.2383
Marathon,WI,137820,44.8983,-89.7591
Napa,CA,137384,38.5070,-122.3306
Hampton,VA,137217,37.0554,-76.3632
Florence,SC,137015,34.0245,-79.7030
Grayson,TX,137008,33.6268,-96.6777
Washington,WI,136842,43.3685,-88.2307
Boone,KY,136150,38.9699,-84.7278
Humboldt,CA,136132,40.6993,-123.8756
Blount,TN,135951,35.6872,-83.9255
Clark,OH,135877,39.9167,-83.7844
Warren,KY,135307,36.9936,-86.4238
Harnett,NC,134718,35.3688,-78.8693
Cache,UT,134428,41.7225,-111.7436
Calhoun,MI,134011,42.2465,-85.0056
Tangipahoa,LA,133953,30.6266,-90.4057
Washington,TN,133282,36.2933,-82.4974
Cambria,PA,133263,40.4952,-78.7135
Kendall,IL,132795,41.5906,-88.4288
Sumter,FL,131832,28.7048,-82.0810
Wood,OH,131564,41.3617,-83.6230
Tazewell,IL,131276,40.5075,-89.5134
Pickens,SC,131106,34.8873,-82.7253
Black Hawk,IA,131041,42.4701,-92.3088
Strafford,NH,130965,43.2969,-71.0289
Madison,IN,130545,40.1616,-85.7194
Washington,RI,129998,41.4697,-71.6226
Wichita,TX,129584,33.9879,-98.7035
Rapides,LA,129536,31.1986,-92.5332
Skagit,WA,129480,48.4795,-121.7291
Hunterdon,NJ,129099,40.5673,-74.9122
Bossier,LA,128877,32.6784,-93.6049
Clarke,GA,128864,33.9512,-83.3673
Berkshire,MA,128763,42.3707,-73.2063
Linn,OR,128598,44.4887,-122.5343
Fayette,PA,128417,39.9201,-79.6474
Sebastian,AR,128184,35.1989,-94.2743
Chautauqua,NY,127440,42.2281,-79.3663
Ascension,LA,126973,30.2036,-90.9113
Cochise,AZ,125504,31.8796,-109.7512
Richland,OH,125008,40.7747,-82.5365
Faulkner,AR,124611,35.1470,-92.3320
Bonneville,ID,124490,43.3877,-111.6148
Gregg,TX,124245,32.4805,-94.8170
Kennebec,ME,124003,44.4091,-69.7673
Saline,AR,123988,34.6466,-92.6766
Berkeley,WV,123283,39.4641,-78.0275
Morgan,AL,123102,34.4535,-86.8529
Jasper,MO,122788,37.2036,-94.3406
Blair,PA,122640,40.4811,-78.3484
San Juan,NM,121798,36.5085,-108.3206
Comanche,OK,121777,34.6621,-98.4717
Clark,IN,121484,38.4772,-85.7073
La Crosse,WI,120216,43.9066,-91.1152
Allegan,MI,120189,42.5913,-85.8884
Carroll,GA,120060,33.5828,-85.0798
Gallatin,MT,119685,45.5404,-111.1704
Tom Green,TX,119276,31.4044,-100.4621
Fayette,GA,119259,33.4139,-84.4943
Douglas,KS,119094,38.8847,-95.2926
Missoula,MT,118541,47.0365,-113.9237
Lowndes,GA,118257,30.8338,-83.2677
Oswego,NY,118037,43.4269,-76.1414
Potter,TX,117905,35.4013,-101.8939
Sheboygan,WI,117741,43.7212,-87.9454
Robeson,NC,117573,34.6402,-79.1039
Flagler,FL,117515,29.4614,-81.3136
Wayne,NC,117480,35.3640,-78.0040
Jefferson,NY,117445,44.0495,-75.9203
Wayne,OH,116680,40.8289,-81.8880
Henderson,NC,116469,35.3363,-82.4800
Calhoun,AL,116162,33.7714,-85.8260
Lycoming,PA,114022,41.3434,-77.0645
St. Mary's,MD,113814,38.3024,-76.6058
Newton,GA,113298,33.5550,-83.8502
Northwest Hills,CT,112696,41.8469,-73.2212
Albemarle,VA,112513,38.0229,-78.5567
Ontario,NY,112288,42.8528,-77.2998
LaPorte,IN,112215,41.5460,-86.7400
Delaware,IN,112156,40.2275,-85.3969
Androscoggin,ME,111532,44.1658,-70.2065
Douglas,OR,111322,43.2797,-123.1665
Craighead,AR,111038,35.8308,-90.6328
Hardin,KY,111005,37.6979,-85.9634
Rockwall,TX,110631,32.8978,-96.4079
Cowlitz,WA,110621,46.1932,-122.6810
Mercer,PA,110600,41.3022,-80.2577
Hanover,VA,110513,37.7601,-77.4910
Pennington,SD,110386,44.0037,-102.8238
Warren,NJ,109739,40.8572,-74.9973
LaSalle,IL,109495,41.3440,-88.8859
Bartow,GA,109410,34.2377,-84.8403
Madison,MS,109257,32.6347,-90.0337
Eaton,MI,109072,42.5961,-84.8383
Terrebonne,LA,108862,29.4148,-90.8663
Bradley,TN,108859,35.1541,-84.8596
Miami,OH,108818,40.0535,-84.2288
St. Lawrence,NY,108670,44.4964,-75.0691
Matanuska-Susitna,AK,108661,62.3160,-149.5729
Cass,MO,108205,38.6470,-94.3549
Yamhill,OR,107674,45.2326,-123.3081
Kankakee,IL,107421,41.1377,-87.8618
Carver,MN,107216,44.8207,-93.8026
Navajo,AZ,107110,35.3996,-110.3214
Houston,AL,107040,31.1532,-85.3025
Platte,MO,107033,39.3803,-94.7738
Vigo,IN,106355,39.4306,-87.3900
Monongalia,WV,105988,39.6303,-80.0466
Flathead,MT,105950,48.2951,-114.0497
Eau Claire,WI,105697,44.7268,-91.2860
Woodbury,IA,105526,42.3897,-96.0448
Sumter,SC,105199,33.9162,-80.3822
Walworth,WI,105127,42.6685,-88.5419
Franklin,MO,104858,38.4111,-91.0750
Adams,PA,104604,39.8715,-77.2178
Limestone,AL,104199,34.8101,-86.9814
Fond du Lac,WI,104027,43.7536,-88.4883
Cecil,MD,103876,39.5712,-75.9407
Wicomico,MD,103815,38.3733,-75.6208
Bay,MI,103752,43.7075,-83.9924
Macon,IL,103542,39.8600,-88.9616
Etowah,AL,103348,34.0453,-86.0348
Whitfield,GA,103033,34.8056,-84.9672
Daviess,KY,102916,37.7318,-87.0873
Tompkins,NY,102555,42.4520,-76.4736
Highlands,FL,102339,27.3433,-81.3410
Nevada,CA,102322,39.3013,-120.7689
Allen,OH,102087,40.7715,-84.1058
Maury,TN,102002,35.6169,-87.0770
Columbiana,OH,101723,40.7684,-80.7772
Hunt,TX,101596,33.1236,-96.0855
Craven,NC,101098,35.1249,-77.0939
Moore,NC,100759,35.3106,-79.4814
DeKalb,IL,100686,41.8935,-88.7703
Dallas,IA,100367,41.6849,-94.0398
Laramie,WY,100316,41.3069,-104.6894
Garland,AR,100021,34.5767,-93.1504
Cleveland,NC,99527,35.3341,-81.5555
Montgomery,VA,99373,37.1743,-80.3872
Lenawee,MI,99263,41.8951,-84.0664
Roanoke City,VA,99213,37.2785,-79.9580
Grant,WA,99145,47.2057,-119.4518
Sutter,CA,99101,39.0346,-121.6948
Dubuque,IA,98812,42.4688,-90.8825
Madison,TN,98644,35.6081,-88.8385
Story,IA,98573,42.0362,-93.4650
Floyd,GA,98541,34.2632,-85.2143
Sevier,TN,98455,35.7846,-83.5242
Burleigh,ND,98443,46.9774,-100.4687
Bastrop,TX,98435,30.1036,-97.3120
Putnam,NY,97942,41.4267,-73.7495
