true,prot,deut,trit
274AEF,005DC0,0063A4,006A70
5F6A01,716400,7F5F13,68626A
FBD75D,F2D95E,FFD294,FFCCD8
8C331F,5A512C,664D1E,8C3437
D13984,6674A4,807277,CC4A4E
2E8987,7D7B7F,80788C,388691
AD015C,4B577F,645552,A82526
0106E5,00448B,004876,004E51
654C15,5B511D,664D1C,69484E
857B07,88790F,997217,8C717A
56A33C,A1903A,B38947,6C97A3
EF3DC6,4E86F8,8087B4,E55F65
6E913F,94853E,A57F47,7A8791
95EA50,EDD34B,FFCA7D,AEDAEB
539ED7,8394D0,7A95D9,3FA4B1
AAA59C,A9A39A,B89E9C,ACA1AD
AD47D7,0072ED,3877C6,9A6971
AA962D,A79531,BC8D34,B28B95
318463,7D755D,867169,437E88
72D0D3,C0BFC9,C7BBD9,76CDDD
ECEF9A,FEE997,FFE5CC,F8E3F4
4E5C2E,605730,6B5335,56575E
FCAB28,D2BA30,EDB029,FFA0AB
A28101,958409,A87D0D,A87780
F67663,A79B71,BE945C,F7727A
94553C,6E6544,7C613C,955258
104CA0,154D9F,00528C,00595E
0C052A,001327,001422,081517
33F983,F0D977,FFD1A0,71EAFD
80E9CA,DED4BF,EBCED2,8DE2F4
3DCBC2,B9B5B5,BFB1CA,4DC6D6
D91A5F,6D6F80,856B53,D62F30
473350,353C55,393C4F,453A3E
3D7F9F,6E7698,6A75A1,36818C
0D4341,3F3E3F,413D46,194449
25FE3E,F7DC38,FFD59C,77ECFF
8B8BA4,878BA3,8E88A3,878C97
8B434A,5C5955,695647,8A454A
892502,544B11,5F4700,892729
E81FB3,3F7BEB,797CA0,DF4C51
7EC16D,C0AF67,D4A774,8FB5C3
652B6B,28437B,374464,5E3B3F
F7A54F,CAB655,E3AC4D,FD9AA5
823462,465072,544F5C,7E3E43
982A1B,5C532A,694F18,972C2E
F53A4B,8C8263,A27C40,F43F41
04F9D4,E6DCC5,F1D5DF,73EEFF
137F68,767061,7C6C6E,2E7A84
F876AB,989FC1,B09BA0,F47D85
C9815D,9D9163,B18B5A,CB7B84
40501B,554C1F,5E4824,494C52
FE66BC,879ADC,A498AE,F8747C
CD19E4,0075F2,367ACD,B95D64
C49D34,B4A138,CA9838,CB919C
9465EF,197BFF,0E82E3,78818B
F4FEA9,FFF7DD,FFF5ED,FDF4FF
A93134,645D45,73592F,A83437
253587,003D80,00416E,00464B
83613C,716741,7E633E,865C63
D5B307,CCB411,E6AA18,DFA5B1
F619CB,3C83FF,7985B6,EB5459
464E8E,38528F,2E558A,375960
8CF881,F6DF78,FFD8AF,A7E9FC
C51EA5,236AD6,626C94,BB474B
787BE9,4D82EF,3B87E3,5A8D99
E5F93B,FFEDA3,FFE9D0,F8E7F9
AC4EA0,546FB6,686F95,A35E64
1ACCE7,B1B7DA,ADB6EF,00CCDD
A19907,A8950E,BD8D1A,AA8D97
AA8476,928B79,A28675,AB808A
697CD6,597ED7,4B82D2,4F8A95
3249AB,0050A6,005590,005C62
6E60CC,2C6CD6,1871C4,54747D
273F0D,433B13,4A3818,333D42
D1DB10,EDD114,FFC86B,E1CADA
590EBF,004690,004A7B,2E4D53
4AB5B3,A5A3A8,AAA0B9,52B1BF
B29CF6,87A5FE,8AA7F1,A2A8B6
E1A070,BCAC75,D2A56E,E598A3
782957,3D4768,4B4651,743538
E48B9A,A5A2A5,B99D93,E38A95
44CDF9,B0BBEE,A9BAFF,2FD0E1
DC2F8C,6376B3,82757E,D6464A
EBA785,C2B58A,D8AD82,EFA0AC
2B3BC9,004EA1,00538A,00595E
A3B979,BFAF75,D2A87D,ACAFBC
8A60CA,3C72D8,4176C0,77747D
CA397D,65709B,7E6E71,C5484C
3BB355,AD9C4F,BE9560,5DA7B4
BBEDE4,E7E1DD,F6DBE9,BFE9FB
5C2789,004289,004679,4E4146
AE6522,85762B,967023,B05E65
081BC6,003F81,00436E,00484B
507D1F,7F7122,8D6B2C,5F747D
AFF78B,FAE383,FFDEBC,C3E9FC
551F4A,293658,343646,522C2F
860090,004A9A,274D80,7A383C
09C762,BEAC5A,D0A46E,53BAC9
FD157A,7981A5,987D6A,FA3636
5A0351,003166,28324A,552224
423D1E,453F23,4D3C24,473C40
16ECD6,D8D1C7,E0CCE0,45E6F8
53E967,E3CC5F,FBC274,7DDAEB
DB475C,807B71,957653,D94B4F
77C096,BAAF8E,C8A99C,83B8C6
4376A0,64709A,5E70A1,387A84
1C73CA,486FC5,1573C8,007D86
9CD142,D7C040,F0B64E,AFC2D1
9B8612,978619,AA7F1D,A27B85
450118,232429,2B231A,460D0D
E4BDB8,CBC4BB,DEBEB6,E6B9C7
CD3C3B,7A704E,8C6B34,CC3E41
055BB3,295AB0,005FA3,00676D
17B75E,AF9E56,BF9769,4FABB9
61B229,B29E29,C6953A,79A4B1
CC9B93,ACA497,BE9F90,CD97A2
7BDF44,DFC740,F8BC54,98CFDF
55345E,354166,3B425B,513D42
894198,355CAC,485F8E,7E535A
8E1B9A,0052AA,31558B,814247
7E998C,979187,A18D8E,8294A0
27B4D9,9AA3CD,93A2DF,00B6C4
EFD7AA,E7D8A9,FFD0AA,F6CEDE
2DBC99,AFA58E,B9A0A1,4BB4C3
90A02C,A9972E,BD8F37,9C949F
2C6F78,646572,65647B,306F77
2AE3CF,D0C9C1,D8C4D9,4ADDEF
52E013,DDC310,F7B936,7FCFDF
308F43,8A7D40,98774D,4C8590
0C2B2E,2B2B2F,2B2A33,142F33
51EA44,E5CC3F,FFC258,80D9EB
F8960F,C2AC1D,DBA300,FE8A94
B8F54E,FDE24A,FFDCB0,CEE4F6
68352F,4A4538,534230,68373B
9949C9,006ADE,326FBB,86666D
52878A,7E7D84,827A8D,55858F
F91C1E,8C7E36,A07700,F9221F
980293,0052AA,3B5583,8D3A3E
BC6B95,7C82A2,8C808E,B77078
D3A270,B9AA73,CEA26F,D799A5
EF85CB,96A5DF,ABA3C1,E88E99
D7205F,6D6F7F,856B54,D43233
FC49BF,6B8FEC,928EAE,F46369
D0D980,E6D17D,FEC884,DCCDDC
D95A9E,7785B7,8F8392,D3656C
208329,7F7129,8D6C36,427983
836691,656F96,6C6E8D,7D6B74
5D0710,343020,3C2D12,5D1111
559F19,9F8C1B,B1852D,6C929E
FC23D0,4A88FF,7E89BB,F1585D
72FC69,F9DF61,FFD9AB,98ECFF
7DD286,CFBE7E,E1B68E,90C7D6
3A2537,2C2F3D,302F38,3B2C2F
43B2E3,96A3D9,8DA4E7,2BB6C5
C32D83,566AA6,726976,BD4346
F402FB,4787FF,538CE1,E1636A
2D096B,002852,002A47,172C30
7779BA,677CBB,657DB7,6A828C
E95A15,988726,AC8000,EA555A
BDD320,E1C722,FCBC33,CDC3D2
7025FA,005DC0,0063A5,2E6871
4AF35C,EDD454,FFCB84,7EE3F5
